winner,total_rocks,total_turn,ai_1_reflection,ai_2_reflection,ai_1_warning,ai_2_warning,player_1_capture,player_2_capture,value_weight,value_func_player,value_func_opponent
2,18,9,6360.525369644165,496.66881561279297,6,0,0,2,0.3,[4.2, 3.3, 3.2, 2.0, 4.5],[-3.4, -4.2, -0.3, -1.1, -2.1]
1,43,21,10046.082496643066,2685.215473175049,9,1,6,4,0.3,[0.5, 2.4, 2.4, 3.7, 1.7],[-2.4, -3.6, -1.1, -4.9, -2.0]
1,17,8,2726.6931533813477,482.8357696533203,2,0,0,0,0.5,[3.8, 2.2, 0.8, 2.1, 1.8],[-3.8, -2.3, -2.1, -1.4, -2.8]
1,33,16,10011.713981628418,1235.212802886963,6,0,0,6,0.3,[4.6, 0.4, 0.8, 0.3, 0.9],[-2.2, -3.5, -1.9, -3.2, -4.0]
2,68,34,38198.009729385376,5357.004404067993,25,3,2,6,0.0,[2.5, 3.8, 4.3, 1.4, 3.9],[-2.8, -4.0, -1.6, -0.0, -4.3]
2,18,9,9809.523820877075,512.1850967407227,6,0,0,2,0.4,[0.6, 1.4, 0.5, 0.8, 3.7],[-1.8, -0.1, -2.0, -3.6, -2.0]
1,65,32,36247.95126914978,5864.42756652832,21,2,4,4,0.5,[2.6, 2.9, 3.0, 0.3, 0.9],[-0.9, -0.1, -4.9, -1.6, -3.1]
1,39,19,10766.765832901001,1192.0392513275146,11,0,0,0,0.9,[2.5, 4.7, 4.0, 0.6, 2.3],[-4.0, -2.8, -4.4, -1.5, -4.6]
1,27,13,5229.764461517334,2721.2862968444824,4,2,2,0,0.1,[0.1, 0.4, 3.3, 1.1, 2.6],[-1.3, -2.0, -1.3, -1.9, -2.7]
2,42,21,21118.9968585968,2325.897693634033,18,1,2,4,0.9,[3.6, 1.2, 1.6, 1.1, 0.7],[-2.7, -3.1, -4.0, -2.8, -1.9]
1,51,25,22972.873210906982,2904.1922092437744,14,0,4,2,0.7,[3.8, 0.5, 1.2, 3.8, 4.2],[-4.5, -5.0, -3.8, -1.0, -1.9]
2,70,35,45923.18248748779,8676.181316375732,24,4,2,6,0.3,[4.6, 3.0, 2.9, 3.6, 4.5],[-1.8, -0.1, -4.2, -2.0, -4.4]
1,23,11,2956.0980796813965,1378.908395767212,3,0,2,0,0.7,[0.8, 1.4, 0.9, 4.5, 1.8],[-3.4, -0.0, -2.8, -3.3, -3.8]
2,18,9,9695.988655090332,499.5694160461426,6,0,0,2,0.9,[0.4, 4.8, 4.7, 2.4, 1.7],[-0.9, -4.7, -0.8, -4.0, -2.5]
2,30,15,17525.15435218811,2075.908422470093,10,1,4,6,0.1,[0.5, 1.6, 2.2, 0.7, 2.9],[-0.4, -5.0, -4.1, -1.0, -1.9]
1,23,11,4619.011402130127,1222.3329544067383,4,0,2,0,0.1,[1.7, 0.0, 2.6, 4.5, 3.8],[-0.4, -2.7, -1.3, -3.9, -0.4]
2,18,9,7469.2065715789795,492.1760559082031,7,0,0,2,0.7,[2.8, 2.5, 0.5, 3.5, 4.0],[-2.8, -1.0, -0.3, -0.1, -0.5]
1,39,19,8848.51861000061,1185.0378513336182,9,0,0,0,0.2,[2.1, 1.7, 3.9, 3.7, 3.6],[-3.3, -0.6, -2.1, -2.5, -3.7]
1,31,15,8068.071126937866,1331.1131000518799,8,0,6,2,0.0,[1.5, 0.1, 0.2, 2.1, 4.3],[-3.6, -3.9, -1.2, -3.1, -2.9]
2,58,29,23388.810873031616,3875.8535385131836,18,1,2,2,0.9,[2.2, 2.9, 2.0, 0.6, 1.9],[-2.0, -3.4, -1.1, -4.4, -4.9]
1,41,20,14132.14921951294,3199.829339981079,11,2,10,6,0.8,[0.8, 0.2, 2.6, 4.5, 3.2],[-4.9, -2.8, -2.6, -0.9, -2.4]
1,37,18,12692.969560623169,1563.265323638916,11,0,0,2,0.3,[2.3, 1.4, 1.7, 1.9, 3.8],[-1.8, -2.9, -3.1, -2.0, -0.0]
